N,P,K,temperature,humidity,ph,rainfall,label
84.97,46.64,41.62,26.17,84.41,6.44,287.38,rice
87.67,44.57,41.36,22.69,83.84,6.56,182.6,rice
62.75,43.99,37.47,24.05,82.73,6.15,283.97,rice
77.74,47.92,36.44,22.55,85.28,6.21,251.27,rice
73.99,45.68,38.5,26.74,84.97,6.24,264.68,rice
67.79,48.81,35.1,21.18,85.49,6.68,245.14,rice
78.84,45.62,36.3,22.24,83.85,6.76,250.31,rice
62.37,49.53,39.04,22.32,86.53,6.76,267.94,rice
71.61,45.57,40.83,25.21,83.8,6.45,206.81,rice
68.04,52.58,43.39,23.37,87.51,6.59,220.65,rice
83.61,57.11,39.91,26.24,78.45,6.71,242.61,rice
77.01,48.07,35.03,23.12,85.89,6.87,224.45,rice
71.92,44.36,42.29,24.08,83.68,6.63,242.91,rice
89.69,43.11,39.18,22.81,81.34,6.57,247.83,rice
80.05,46.03,36.46,22.76,84.14,6.3,235.16,rice
84.04,59.29,40.44,23.95,84.81,6.02,239.2,rice
80.6,62.9,39.52,24.03,84.91,6.21,274.28,rice
87.52,52.44,37.73,25.95,81.5,6.65,300.0,rice
70.09,43.96,40.25,22.62,81.12,6.52,208.13,rice
84.74,41.75,43.87,22.13,84.19,6.7,203.07,rice
82.27,55.67,35.98,23.82,85.65,6.7,202.89,rice
66.8,50.76,40.74,23.94,85.87,6.33,246.97,rice
82.93,43.04,44.66,24.33,82.02,6.66,210.76,rice
87.87,54.74,37.95,25.19,86.03,6.71,296.9,rice
77.55,42.79,37.78,22.07,84.81,6.59,248.3,rice
88.27,47.58,43.63,23.04,91.8,6.66,214.29,rice
69.29,50.52,39.44,24.75,86.18,6.48,214.6,rice
64.85,44.71,42.14,23.87,81.89,6.54,251.56,rice
71.16,48.46,40.15,21.5,85.89,6.64,272.49,rice
90.54,38.89,37.66,24.4,86.28,6.63,300.0,rice
85.71,54.6,42.39,24.64,84.21,6.69,216.82,rice
77.63,44.47,40.2,27.55,80.33,6.67,191.62,rice
75.28,54.31,40.16,21.61,83.21,6.67,218.09,rice
82.16,47.78,38.37,27.25,86.58,5.99,245.59,rice
73.38,52.83,38.02,23.3,86.26,6.72,203.99,rice
76.65,44.53,38.37,26.59,86.01,6.18,267.54,rice
101.22,53.95,36.2,22.65,88.17,6.32,253.31,rice
87.75,41.71,39.85,17.83,82.44,6.44,202.57,rice
96.32,38.56,38.9,23.73,88.6,6.14,274.89,rice
80.1,41.37,41.16,23.85,83.5,6.52,228.44,rice
81.14,51.64,43.97,21.33,90.33,6.01,235.45,rice
85.88,49.26,38.44,23.14,83.77,6.35,265.49,rice
83.57,43.17,42.25,24.04,87.03,6.66,215.13,rice
74.4,52.17,41.53,23.46,85.29,6.82,222.25,rice
85.47,46.24,39.46,25.42,87.06,6.7,279.16,rice
80.21,51.76,39.22,24.07,84.67,6.52,257.85,rice
71.82,60.58,37.48,21.38,87.9,6.7,258.72,rice
86.28,47.42,37.76,23.63,83.31,6.74,235.59,rice
71.75,45.49,41.03,22.51,82.94,6.56,247.35,rice
74.93,44.56,40.58,20.97,81.48,6.32,233.6,rice
83.11,56.72,42.14,23.22,84.95,6.25,239.44,rice
77.11,49.52,37.93,24.41,88.83,6.47,252.05,rice
86.9,44.99,40.56,23.52,85.24,6.31,240.74,rice
84.98,56.57,42.4,27.27,83.08,6.72,245.5,rice
101.9,42.45,37.9,22.45,79.69,6.37,217.23,rice
81.5,49.64,44.69,25.16,83.56,6.28,254.76,rice
66.8,58.95,42.95,22.68,80.72,6.84,236.56,rice
92.38,37.53,38.5,23.51,85.12,6.39,258.69,rice
69.32,46.61,40.3,24.4,86.78,6.22,193.98,rice
92.78,49.58,38.13,26.21,85.29,6.79,242.03,rice
100.61,58.47,39.38,25.2,86.61,6.84,211.05,rice
86.86,54.12,35.6,21.43,79.9,6.43,261.53,rice
95.02,47.96,44.07,21.08,80.74,6.49,251.52,rice
79.67,34.58,39.78,21.22,86.67,6.59,211.8,rice
74.86,40.88,39.84,25.17,82.54,6.63,224.09,rice
72.07,46.83,37.41,22.53,82.01,6.99,241.06,rice
73.0,48.84,39.72,23.11,86.54,6.69,224.08,rice
74.24,45.78,34.25,20.85,88.42,6.91,232.53,rice
85.77,49.45,47.7,25.46,84.68,6.26,191.81,rice
82.03,42.77,36.44,22.37,82.3,6.92,266.45,rice
79.92,56.75,40.19,21.99,88.81,6.63,208.88,rice
78.1,42.03,36.54,25.12,89.77,6.15,256.89,rice
73.49,44.46,38.52,21.99,85.12,6.29,248.11,rice
79.5,46.01,37.73,22.49,86.89,6.63,210.67,rice
80.99,52.2,35.83,24.45,83.34,6.64,217.1,rice
61.95,37.33,40.12,23.95,82.74,6.66,190.15,rice
79.34,39.93,38.37,23.58,82.85,6.4,270.19,rice
74.23,52.72,37.18,24.43,88.6,5.88,216.09,rice
85.77,46.23,40.93,22.44,85.22,6.46,275.03,rice
82.54,49.61,38.97,22.65,83.92,6.6,227.37,rice
82.9,60.47,42.18,22.93,88.0,6.4,178.86,rice
69.92,35.81,39.12,23.53,89.19,6.58,233.43,rice
88.29,33.68,40.59,24.85,81.3,6.79,250.15,rice
75.85,51.45,45.68,23.82,85.62,6.39,214.5,rice
88.3,42.15,40.18,22.66,86.2,6.58,271.13,rice
74.9,45.81,37.55,22.72,85.94,6.69,212.34,rice
88.7,55.97,41.03,26.78,83.07,6.19,186.64,rice
94.96,51.59,39.86,23.99,82.19,7.11,243.88,rice
81.09,52.04,41.2,23.89,83.02,6.62,296.46,rice
93.45,57.46,38.72,21.77,84.69,6.51,272.83,rice
63.08,57.06,39.6,22.75,82.47,6.09,264.7,rice
80.73,39.44,36.76,22.91,89.17,6.44,194.91,rice
77.54,45.8,33.26,23.4,84.42,6.67,295.47,rice
91.27,45.82,37.23,28.0,85.15,6.5,239.28,rice
81.98,46.6,38.57,22.54,84.92,6.36,218.61,rice
81.06,45.91,43.76,18.86,87.73,6.81,177.8,rice
76.57,45.18,36.48,22.14,82.22,6.94,268.07,rice
92.72,52.01,37.18,22.58,86.22,6.19,261.39,rice
77.6,45.16,41.78,24.28,84.1,6.79,207.57,rice
86.16,51.21,39.23,24.07,81.87,6.73,234.45,rice
74.77,54.06,18.24,19.33,57.22,6.78,68.99,maize
97.55,34.49,24.24,22.97,64.52,6.35,89.99,maize
79.62,54.4,20.29,22.84,63.18,6.53,88.85,maize
62.9,39.07,21.86,22.88,64.08,6.56,89.34,maize
74.6,42.64,20.49,20.3,67.04,5.91,97.86,maize
84.73,49.1,22.46,26.25,70.07,5.86,69.01,maize
73.75,47.66,21.29,20.87,65.93,6.27,77.36,maize
65.93,41.73,16.62,20.3,70.27,6.19,117.9,maize
84.93,48.66,17.85,24.08,62.12,6.6,117.0,maize
79.04,54.68,18.24,22.42,73.85,6.31,107.66,maize
87.08,43.98,21.58,24.69,68.11,5.96,75.91,maize
77.52,47.03,21.55,22.9,58.32,6.69,92.63,maize
85.6,54.25,22.08,23.53,64.65,5.93,90.37,maize
82.08,49.2,16.81,20.07,70.27,6.54,93.52,maize
80.28,47.69,22.35,21.34,65.48,6.38,79.57,maize
76.91,48.89,18.8,25.33,60.53,6.48,79.5,maize
94.47,48.73,22.58,19.16,66.34,6.88,86.03,maize
90.65,44.27,23.52,27.67,63.19,6.38,103.17,maize
95.8,44.23,18.95,21.87,58.28,6.21,72.45,maize
72.32,47.28,20.59,25.99,60.01,6.92,82.33,maize
79.51,51.72,17.19,23.36,65.83,6.73,88.61,maize
104.55,43.51,18.67,21.1,62.22,6.31,99.86,maize
94.21,43.93,17.92,23.56,62.24,6.79,87.54,maize
64.84,57.17,24.49,21.12,63.06,6.66,89.18,maize
86.59,60.06,19.56,20.7,58.1,6.28,84.59,maize
97.95,44.26,20.56,22.46,70.94,7.5,78.36,maize
75.11,54.03,21.7,26.66,67.92,6.42,92.38,maize
91.09,52.63,21.27,24.9,70.85,7.07,93.11,maize
78.33,48.42,23.02,20.66,66.84,6.4,85.36,maize
92.78,48.69,20.12,19.44,68.73,6.79,112.04,maize
76.92,48.87,20.62,26.05,64.52,6.65,92.6,maize
81.87,44.71,20.49,24.92,59.87,6.6,76.25,maize
91.95,37.98,18.6,23.35,72.83,6.53,78.06,maize
98.81,38.45,14.5,23.49,62.49,6.17,93.85,maize
82.44,43.97,16.8,24.46,68.25,6.51,108.08,maize
69.3,37.97,18.27,22.4,66.22,6.46,89.4,maize
67.48,56.52,19.79,25.01,66.71,6.72,92.12,maize
84.48,51.52,23.32,22.94,68.55,6.52,103.0,maize
73.24,58.76,19.9,19.28,65.64,6.29,95.51,maize
